#Search space growth respect to the plan length			
# l    |   W1  |   W2  |   W3  |   W4	
1 6	 0.00	 0.00     0.00    0.00
2 7	 0.00	 0.00     0.00    0.00
3 8	 0.00	 0.00     0.01    0.02  
4 9	 0.01	 0.00     0.15    0.47
5 10	 0.07	 0.00     2.30    8.13
6 11     0.37	 2.00     16.04   66.30
7 12     2.34	 11.00    81.24   312.18
8 13     8.44	 46.00    170.39  787.00

